Account_No,TRANSACTION_DETAILS,WITHDRAWAL_AMOUNT,DEPOSIT_AMOUNT,BALANCE_AMOUNT,Transaction_Dates
409000611074,INDO GIBL Indiaforensic STL14121,343900.00,,138355.00,2023-04-05
409000611074,INDO GIBL Indiaforensic STL06111,147750.00,,168634.00,2022-07-23
409000611074,INDO GIBL Indiaforensic STL10121,159150.00,,180680.00,2022-04-19
409000611074,INDO GIBL Indiaforensic STL17021,385400.00,,222819.00,2022-12-16
409000611074,INDO GIBL Indiaforensic STL19011,296450.00,,229120.00,2022-12-03
409000611074,INDO GIBL Indiaforensic STL17091,99600.00,,243588.00,2022-05-30
409000611074,INDO GIBL Indiaforensic STL31011,196150.00,,254645.00,2023-07-29
409000611074,INDO GIBL Indiaforensic STL23011,224800.00,,256645.00,2023-11-08
409000611074,INDO GIBL Indiaforensic STL14111,289500.00,,261826.00,2023-09-05
409000611074,INDO GIBL Indiaforensic STL08031,345930.00,,271687.00,2022-01-03
409000611074,INDO GIBL Indiaforensic STL14021,475300.00,,300447.00,2023-05-18
409000611074,INDO GIBL Indiaforensic STL10011,256600.00,,314596.00,2022-06-01
409000611074,INDO GIBL Indiaforensic STL05111,91441.00,,316384.00,2022-11-28
409000611074,INDO GIBL Indiaforensic STL09121,51199.00,,339830.00,2022-08-25
409000611074,INDO GIBL Indiaforensic STL16091,36650.00,,343188.00,2023-08-06
409000611074,INDO GIBL Indiaforensic STL15091,51502.00,,379838.00,2023-11-05
409000611074,INDO GIBL Indiaforensic STL08121,34400.00,,391029.00,2022-04-08
409000611074,INDO GIBL Indiaforensic STL04111,18949.00,,407825.00,2022-03-17
409000611074,INDO GIBL Indiaforensic STL07121,171330.00,,425429.00,2023-11-13
409000611074,INDO GIBL Indiaforensic STL03111,179463.00,,426774.00,2023-11-07
409000611074,INDO GIBL Indiaforensic STL14091,275449.00,,431340.00,2023-02-04
409000611074,INDO GIBL Indiaforensic STL25101,170125.00,,440008.00,2023-05-04
409000425051,BDP IS 6095,,3000.00,1901581.85,2022-07-25
409000611074,INDO GIBL Indiaforensic STL30011,138250.00,,450795.00,2022-05-21
409000425051,BDP IS 6095,,5000.00,1898581.85,2022-12-31
409000425051,BDP IS 6095,,3000.00,1893581.85,2023-03-20
409000425051,BDP IS 6095,,3000.00,1890581.85,2022-02-27
409000425051,BDP IS 6095,,5000.00,1887581.85,2023-05-05
409000611074,INDO GIBL Indiaforensic STL20021,299950.00,,458319.00,2023-09-10
409000425051,BDP IS 6095,,3000.00,1882581.85,2023-11-23
409000425051,BDP IS 6095,,5000.00,1879581.85,2023-12-29
409000425051,BDP IS 6095,,1.00,1874581.85,2023-11-21
409000425051,BDP IS 6095,,8000.00,1874580.85,2022-10-11
409000611074,INDO GIBL Indiaforensic STL05061,251200.00,,461857.00,2022-07-09
409000611074,FDRL/INTERNAL FUND TRANSFE,600000.00,,462200.00,2023-06-14
409000493201,BBPS DT 16022019,199604.27,,463186.38,2022-12-02
409000425051,NEFT/SBIN316329943719/PAR,,8000.00,1866580.85,2023-06-29
409000611074,INDO GIBL Indiaforensic STL15111,580226.00,,465637.00,2023-01-22
409000493201,BBPS DT 09012019,155967.41,,466264.07,2022-02-17
409000425051,NEFT/SBIN316329943138/MOH,,8000.00,1858580.85,2022-08-04
409000493201,BBPS DT 28012019,40666.41,,470348.21,2022-10-11
409000493201,BBPS DT 30012019,241598.45,,472072.91,2023-05-05
409000425051,BDP IS 6095,,3000.00,1850580.85,2023-04-13
409000611074,INDO GIBL Indiaforensic STL20121,561225.00,,475632.00,2022-04-18
409000425051,BDP IS 6095,,5000.00,1847580.85,2023-09-24
